text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
"Now it's time to stop talking crap on Facebook and go Vote!
#Election2016 #Historical #Passion… https://t.co/sxiUaUQOP1",11/8/2016 13:20,42.35770833,-71.06356389,"Place(name='Boston', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json', full_name='Boston, MA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]], type='Polygon'), contained_within=[], id='67b98f17fdcf20be')","{'coordinates': [-71.06356389, 42.35770833], 'type': 'Point'}",Boston,0.108836579,negative,Disgust,Election
"OK, let's get this shit over with #Election2016 #DontEffThisUpAmerica #CivicDuty @ San Antonio,… https://t.co/apwdfiK6eI",11/8/2016 13:14,42.2959679,-83.7659335,"Place(name='Ann Arbor', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/92b2158a6d509767.json', full_name='Ann Arbor, MI', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-83.800262, 42.215087], [-83.659681, 42.215087], [-83.659681, 42.326592], [-83.800262, 42.326592]]], type='Polygon'), contained_within=[], id='92b2158a6d509767')","{'coordinates': [-83.7659335, 42.2959679], 'type': 'Point'}",,0.055728215,negative,Disgust,Election
