date,GISS,HAD,NOAA
8/11/2016 11:43,0.11,1,1
8/11/2016 11:43,1,0.93,1
8/11/2016 11:43,0.11,1,1
8/11/2016 11:44,0.11,1,1
8/11/2016 11:44,1,2.32,1
8/11/2016 11:44,2.32,1,1
8/11/2016 11:46,0.11,1,1
8/11/2016 11:46,0.11,1,1
8/11/2016 11:46,0.93,1,1
8/11/2016 11:46,0.51,1,1
8/11/2016 11:47,0.11,1,1
8/11/2016 11:47,0.11,1,1
8/11/2016 11:48,0.11,1,1
8/11/2016 11:48,0.11,1,1
8/11/2016 11:48,1,0.11,1
8/11/2016 11:49,1,1,1
8/11/2016 11:49,0.11,1,1
8/11/2016 11:49,0.11,1,1
8/11/2016 11:50,0.93,1,1
8/11/2016 11:50,0.11,1,1
8/11/2016 11:50,0.11,1,1
8/11/2016 11:51,0.06,1,1
8/11/2016 11:51,0.11,1,1
8/11/2016 11:51,0.11,1,1
8/11/2016 11:51,1,0.11,1
8/11/2016 11:51,0.93,1,1
8/11/2016 11:52,1,0.11,1
8/11/2016 11:52,1,0.93,1
8/11/2016 11:52,2.32,1,1
8/11/2016 11:53,0.06,1,1
8/11/2016 11:55,0.11,1,1
8/11/2016 11:55,0.11,1,1
8/11/2016 11:55,0.11,1,1
8/11/2016 11:56,0.11,1,1
8/11/2016 11:56,0.11,1,1
8/11/2016 11:57,1,0.11,1
8/11/2016 11:57,0.11,1,1
8/11/2016 11:57,0.06,1,1
8/11/2016 11:58,1,0.11,1
8/11/2016 11:58,0.11,1,1
8/11/2016 11:58,1,0.93,1
8/11/2016 11:58,0.11,1,1
8/11/2016 11:59,1,0.11,1
8/11/2016 11:59,0.49,1,1
8/11/2016 11:59,0.11,1,1
8/11/2016 11:59,1,19.72,1
8/11/2016 11:59,0.11,1,1
8/11/2016 12:00,0.11,1,1
8/11/2016 12:00,0.11,1,1
8/11/2016 12:00,0.11,1,1
8/11/2016 12:01,0.11,1,1
8/11/2016 12:01,0.93,1,1
8/11/2016 12:01,1,1,1
8/11/2016 12:01,1,38.67,1
8/11/2016 12:02,1,2.32,1
8/11/2016 12:02,0.11,1,1
8/11/2016 12:02,0.04,1,1
8/11/2016 12:02,0.11,1,1
8/11/2016 12:02,0.11,1,1
8/11/2016 12:03,0.93,1,1
8/11/2016 12:03,1,0.11,1
8/11/2016 12:03,0.11,1,1
8/11/2016 12:03,1,0.06,1
8/11/2016 12:03,0.11,1,1
8/11/2016 12:04,1,0.11,1
8/11/2016 12:04,1,0.11,1
8/11/2016 12:04,0.11,1,1
8/11/2016 12:04,21.27,1,1
8/11/2016 12:04,1,0.11,1
8/11/2016 12:05,0.93,1,1
8/11/2016 12:05,1,0.11,1
8/11/2016 12:05,0.11,1,1
8/11/2016 12:06,0.06,1,1
8/11/2016 12:06,1,1,0.11
8/11/2016 12:06,1,1,0.11
8/11/2016 12:06,1,0.11,1
8/11/2016 12:07,0.93,1,1
8/11/2016 12:08,2.32,1,1
8/11/2016 12:08,1,1,1
8/11/2016 12:08,1.89,1,1
8/11/2016 12:09,0.11,1,1
8/11/2016 12:09,1,1,1
8/11/2016 12:09,1.89,1,1
