text,created_at,lat,lon,place,coordinates,location,polarity score,sentiment,emotion,party
"Just own what you Believe in and please vote. 🇺🇸 #election2016 @ Thornton, Colorado https://t.co/itAPwI1VEq",11/9/2016 4:51,40.85770398,-73.91227858,"Place(name='Bronx', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', full_name='Bronx, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]], type='Polygon'), contained_within=[], id='002e24c6736f069d')","{'coordinates': [-73.91227858, 40.85770398], 'type': 'Point'}","Brooklyn, NY",1.891163421,neutral,Trust,Election
@Corporatocrazy Frank Luntz is a traitor he is a closet Democrat. I no longer trust him.,11/9/2016 3:55,34.05161048,-118.2453354,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.24533538, 34.05161048], 'type': 'Point'}",Los Angeles,2.63602335,positive,Trust,Hillary
Hold the vision. Trust the process. #election2016 #vote #electionday #getoutandvote… https://t.co/0DzhuoPo5D,11/8/2016 14:38,37.5322,-84.6603,"Place(name='Stanford', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/2dc97f3ec4db25a8.json', full_name='Stanford, KY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-84.683419, 37.519246], [-84.629358, 37.519246], [-84.629358, 37.553652], [-84.683419, 37.553652]]], type='Polygon'), contained_within=[], id='2dc97f3ec4db25a8')","{'coordinates': [-84.6603, 37.5322], 'type': 'Point'}","Junction City, KY",1.818011675,neutral,Trust,Election
I voted today (w/ my trusty sidekick)! Did you?! #vote #election2016 #yourvotecounts @ A.B. Day… https://t.co/ffYtplD0HY,11/8/2016 14:21,40.95161787,-74.18244326,"Place(name='North Haledon', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/80b4a4f48d3d0529.json', full_name='North Haledon, NJ', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.211851, 40.9445528], [-74.168066, 40.9445528], [-74.168066, 40.980172], [-74.211851, 40.980172]]], type='Polygon'), contained_within=[], id='80b4a4f48d3d0529')","{'coordinates': [-74.18244326, 40.95161787], 'type': 'Point'}",North Jersey,0.108836579,negative,Trust,Election
